journal,link,type,category
"Periodontology 2000","https://onlinelibrary.wiley.com/feed/16000757/most-recent",xml,Periodontology
"Journal of Clinical Periodontology","https://onlinelibrary.wiley.com/feed/1600051x/most-recent",xml,Periodontology
"Journal of Periodontology","https://aap.onlinelibrary.wiley.com/feed/19433670/most-recent",xml,Periodontology
"International Endodontic Journal","https://onlinelibrary.wiley.com/feed/13652591/most-recent",xml,Endodontics
"Journal of Endodontics","https://www.jendodon.com/current.rss",xml,Endodontics
"Journal of Prosthetic Dentistry","https://rss.sciencedirect.com/publication/science/00223913",xml,Prosthodontics
"Journal of Esthetic and Restorative Dentistry","https://onlinelibrary.wiley.com/feed/17088240/most-recent",xml,Prosthodontics
"European Journal of Orthodontics","https://academic.oup.com/rss/site_5380/3241.xml",xml,Orthodontics
"American Journal of Orthodontics and Dentofacial Orthopedics","https://www.ajodo.org/current.rss",xml,Orthodontics
"International Journal of Oral and Maxillofacial Surgery","https://www.ijoms.com/current.rss",xml,Oral Surgery
"Clinical Oral Implants Research","https://onlinelibrary.wiley.com/feed/16000501/most-recent",xml,Implantology
"Clinical Implant Dentistry and Related Research","https://onlinelibrary.wiley.com/feed/17088208/most-recent",xml,Implantology
"Journal of Dental Research","https://journals.sagepub.com/action/showFeed?ui=0&mi=ehikzz&ai=2b4&jc=jdr&type=axatoc&feed=rss",xml,General Dentistry
"Journal of Dentistry","https://rss.sciencedirect.com/publication/science/03005712",xml,General Dentistry
"British Dental Journal","https://www.nature.com/bdj.rss",rss,General Dentistry
"Journal of the American Dental Association","https://jada.ada.org/current.rss",xml,General Dentistry
"International Dental Journal","https://rss.sciencedirect.com/publication/science/00206539",xml,General Dentistry
"European Journal of Oral Sciences","https://onlinelibrary.wiley.com/feed/16000722/most-recent",xml,General Dentistry
"International Journal of Oral Science","https://www.nature.com/ijos.rss",rss,General Dentistry
"Oral Oncology","https://rss.sciencedirect.com/publication/science/13688375",xml,Oral Medicine
"Caries Research","https://karger.com/rss/site_1000023/1000014.xml",xml,Oral Medicine
"Dental Materials","https://rss.sciencedirect.com/publication/science/01095641",xml,Dental Materials
"Japanese Dental Science Review","https://rss.sciencedirect.com/publication/science/18827616",xml,Dental Materials
"Community Dentistry and Oral Epidemiology","https://onlinelibrary.wiley.com/feed/16000528/most-recent",xml,Public Health
"Journal of Dental Education","https://onlinelibrary.wiley.com/feed/19307837/most-recent",xml,Public Health
"Evidence-Based Dentistry","https://www.nature.com/ebd.rss",rss,Public Health
"Journal of Evidence-Based Dental Practice","https://rss.sciencedirect.com/publication/science/15323382",xml,Public Health
"Journal of Oral Rehabilitation","https://onlinelibrary.wiley.com/feed/13652842/most-recent",xml,Oral Rehabilitation
